siren,title,recent_niveau,recent_score,synthese_crc,category,category_label,reasoning,confidence
320825490,Association résidence Saint-Nicolas (Lozère),C,48,"Dégradation financière depuis 2022, déficits d'exploitation, charges de personnel en hausse, expansion mal maîtrisée, gouvernance déséquilibrée.",i,fragilité non-comptable,"Le score Vigil'Asso de 48/100 (niveau C) reflète objectivement une situation financière dégradée (déficit -657k€, autonomie très faible 2.3/15, solidité et rentabilité médiocres), ce qui aurait pu justifier un D. Cependant, le rapport CRC pointe des risques structurels non-comptables — gouvernance déséquilibrée, expansion mal maîtrisée, hausse chronique des charges de personnel — qui menacent la pérennité au-delà des seuls ratios actuels. Ces fragilités de modèle et de pilotage ne sont pas encore converties en crise financière aiguë aux ratios 2024, ce qui explique pourquoi Vigil'Asso ne déclenche pas une alerte E/D, mais le diagnostic CRC est juste : l'asso court un risque de dégradation rapide.",high
405047572,Association Dev'up (Loiret),C,51,"Situation financière fragile : résultat d'exploitation systématiquement déficitaire, forte dépendance aux financements publics régionaux.",iii,défaut de calibration,"Les sous-scores sont objectivement faibles (rentabilité 13.3/30 = 44%, solidité 10.2/25 = 41%, liquidité 3.0/20 = 15%) et reflètent un déficit d'exploitation systématique et une trésorerie tendue, mais l'autonomie élevée (14.6/15) et la gouvernance maximale (10/10) gonflent artificiellement le total à 51 pts (C). Le scoring pénalise insuffisamment cette combinaison de mauvaise rentabilité/solidité/liquidité pour descendre en D, alors que la fragmentation du bilan et le déficit chronique soulevés par la CRC auraient dû générer une note plus basse.",high
381570035,Association de gestion du théâtre du cratère d'Alès (AGC) (Gard),C,46,"Résultats structurellement déficitaires, érosion des réserves, marge artistique en baisse menaçant la pluridisciplinarité des missions.",i,fragilité non-comptable,"Le rapport CRC (daté de 6 mois) pointe des fragilités structurelles — résultats chroniquement déficitaires, érosion progressive des réserves, menace sur la marge artistique — qui constituent un modèle économique non viable à long terme. Le score Vigil'Asso de 46/100 (C) reflète certes une liquidité faible (6.1/20) et une autonomie très dépendante de subventions (4.5/15), mais les comptes 2023 ne captent pas encore l'accélération de la crise ni l'absence de plan de retour à l'équilibre : le ratio de rentabilité reste légèrement négatif mais lissé, et les fonds propres (553k€) masquent une trajectoire d'épuisement. La fragmentation est non-comptable : c'est la soutenabilité du modèle qui est brisée, pas (encore) les ratios d'un exercice isolé.",high
538465808,"Association Autisme en Île-de-France (Paris, Seine-et-Marne, Val-de-Marne, Yvelines)",B,68,"Dégradation financière du siège et FAM ClairBois, gouvernance à renforcer, comptes à fiabiliser, rotation dirigeants problématique.",i,fragilité non-comptable,"Les ratios Vigil'Asso sont globalement corrects (score 68/B, liquidité 16.8/20, autonomie 15/15) et ne signalent pas d'alerte comptable immédiate. Or la CRC pointe des risques structurels graves et non-cycliques : dégradation du siège et FAM ClairBois, gouvernance défaillante à renforcer, fiabilité comptable douteuse, et rotation pathologique des dirigeants. Ces facteurs de fragilité institutionnelle et opérationnelle ne sont pas captés par les seuls ratios comptables et restent des signaux d'alerte importants malgré un bilan apparent.",high
423113638,Association Blagnac Football Club (Haute-Garonne),C,46,"Situation financière fragile malgré soutien public, déficit 2021-22, redressement URSSAF, carences de gouvernance et conformité.",i,fragilité non-comptable,"Les ratios financiers de 2024 montrent un redressement réel (excédent, trésorerie confortable, liquidité parfaite à 20/20), mais le rapport CRC datant de 1.1 ans identifiait des carences structurelles de gouvernance (0/10 points) et une autonomie très faible (7.1/15) qui révèlent une dépendance critique aux financeurs publics et des défaillances de gouvernance non corrigées. Ces fragilités non-comptables — défaut de contrôle interne, conformité URSSAF, risque de dépendance persistant — ne disparaissent pas avec un seul exercice équilibré et ne sont pas captées par Vigil'Asso.",high
342007069,Association Arts Vivants 11 (Aude),C,42,"Déficits récents, trésorerie très basse, forte dépendance aux subventions, départ imminent de dirigeants clés, modèle économique à redéfinir.",i,fragilité non-comptable,"Les ratios Vigil'Asso sont mitigés (score C global) et ne sont pas alarmants individuellement : liquidité parfaite (20/20), rentabilité acceptable (18.1/30), trésorerie apparente confortable (270k€). Cependant, la CRC pointe des risques structurels non-comptables décisifs — déficits chroniques antérieurs, dépendance critique aux subventions (1.1/15), départ de dirigeants clés, et modèle économique à redéfinir — qui constituent une fragilité réelle mais invisible dans un seul exercice déficitaire. Le score C masque l'instabilité gouvernementale et stratégique.",high
524906658,Association Conseil des chevaux de Normandie (Calvados),C,52,"Association dépendante à 70% des subventions régionales, trésorerie fragilisée nécessitant recours à lignes de crédit. Fonds dédiés sans autorisation.",ii,fonds dédiés / ressources affectées,"Le rapport CRC signale explicitement des 'fonds dédiés sans autorisation' qui gonflent les fonds propres affichés (391 k€). Les ratios de solidité (11.1/25) et autonomie (11.9/15) sont objectivement faibles, mais le score C (52 pts) masque cette fragilité réelle car les ressources affectées ne sont pas disponibles pour absorber les pertes : c'est un cas classique de fonds propres comptables trompeurs.",high
393708870,Association Alterre Bourgogne-Franche-Comté,C,43,"Subventions en baisse (-27%), déficit 2020, missions perdues, effectifs réduits, gouvernance à améliorer.",iv,FN justifié (redressement),"Le rapport CRC date de 3.4 ans et pointait une fragilité en 2020-2021 (déficit, baisse de subventions, missions perdues). Les comptes 2024 scorés par Vigil'Asso montrent un redressement partiel mais réel : bien que déficitaires et avec une autonomie très faible, l'association a stabilisé ses fonds propres (493k€) et obtient un score C (43/100), reflet d'une trajectoire en amélioration depuis le diagnostic ancien de la CRC.",medium
786255257,Association Revivre à Laval (Mayenne),C,52,"Fragilité structurelle avec déficits récurrents, fonds propres érodés, gouvernance défaillante et absence stratégique.",i,fragilité non-comptable,"Le score Vigil'Asso de 52/100 (C) reflète fidèlement une situation financière mitigée : rentabilité faible (18/30), solidité très fragile (9/25), autonomie quasi-nulle (2.3/15 = dépendance majeure aux subventions). La CRC pointe une fragilité structurelle — déficits récurrents, gouvernance défaillante, absence stratégique — qui explique ce score C justifié ; le rapport CRC, bien qu'âgé de 3.4 ans, ne dénonce pas un cas où les ratios masqueraient les vrais risques, mais plutôt une association dont les comptes 2021 montrent déjà les symptômes (dépendance critique, solidité érodée, rentabilité marginale) confirmant le diagnostic structurel.",medium
333976868,Association « Centre chorégraphique national Roubaix Hauts-de-France » (Nord),C,43,"Dégradation financière marquée : recettes propres en chute, dépendance accrue aux subventions, trésorerie fragile, déficit 2019. Contrôle interne insuffisant.",ii,fonds dédiés / ressources affectées,"Les fonds propres affichés (454 420 €) sont anormalement élevés au regard de la fragilité réelle : résultat net quasi-nul (515 €), liquidité critique (2.7/20), autonomie effondrée (2.1/15, soit 86 % de dépendance aux subventions). Cette structure suggère que les fonds propres contiennent des subventions affectées ou fonds dédiés non disponibles, qui gonflent artificiellement le ratio de solidité (13.7/25) tout en masquant une trésorerie tendue et une dépendance structurelle confirmée par le rapport CRC datant de 4.8 ans.",high
775615370,Association Realise (Meurthe-et-Moselle),C,59,Résultats comptables très dégradés avec déficit cumulé 2016-2018 de -291 513€. Volatilité importante des résultats par établissement.,iv,FN justifié (redressement),"Le rapport CRC date de 5.2 ans (2018-2019) et pointait un déficit cumulé 2016-2018 de -291k€. Les comptes Vigil'Asso de fin 2018 montrent déjà un redressement en cours (excédent de +122k€), et 7.3 ans se sont écoulés depuis : l'association a eu largement le temps de consolider ce retournement. Le score C est justifié au moment des comptes (2018) malgré les faiblesses anciennes (rentabilité 15/30, solidité 13/25, gouvernance 0/10) ; le rapport CRC est simplement daté et ne reflète pas cette amélioration.",high
353936800,Association Adrama Angers (Maine-et-Loire),C,54,"Excédent brut d'exploitation dégradé, charges croissant plus vite que produits. Dépendance critique aux subventions publiques (60%), situation non durable.",iv,FN justifié (redressement),"Le rapport CRC date de 5,4 années (2018-2019) et pointait une dégradation de l'EBE et une dépendance critique aux subventions. Les comptes 2023 montrent une association en déficit mais avec une trésorerie substantielle (698k€) et des fonds propres positifs (386k€), suggérant un redressement ou une stabilisation depuis le diagnostic ancien de la CRC. Le score C (54/100) de Vigil'Asso reflète cette situation intermédiaire actuelle, pas la fragilité critique décrite il y a 5 ans.",medium
780613626,Association de Valloires (Somme),C,57,Association en fragilité financière nécessitant redressement. Plan d'économies 2019-2022 de 790k€. Gouvernance défaillante et achats mal contrôlés.,iii,défaut de calibration,"Les ratios sont objectivement faibles : rentabilité à 48% du max (14.3/30), solidité à 49% du max (12.3/25), liquidité à seulement 28% du max (5.5/20), et cette configuration multi-critères dégradée aurait dû logiquement produire un score D ou E selon la pondération standard. Le score C de 57 pts révèle une faille de calibration du modèle Vigil'Asso qui ne pénalise pas assez cette accumulation de faiblesses partielles.",high
779506393,Association Échirolles vacances animation développement éducatif (EVADE) - Échirolles (Isère),C,56,"Déficit et fonds propres dégradés 2011-2014, forte dépendance subventionnelle municipale (70%), trésorerie faible, gouvernance défaillante.",iv,FN justifié (redressement),"Le rapport CRC date de 7,6 ans (2017-2018) et pointait des déficits et fonds propres dégradés sur 2011-2014 ; les comptes 2025 montrent un redressement réel avec excédent de 24k€, trésorerie robuste à 1,2M€ et fonds propres à 403k€. Le score C de Vigil'Asso (56/100) sur l'exercice récent est justifié et ne masque pas la fragilité historique, qui a effectivement été corrigée.",high
780603734,"Association ""Orchestre de Picardie"" (Somme)",C,46,"Structure financière fragile avec fonds propres insuffisants, dépendance critique aux subventions publiques décroissantes, besoin de restructuration ou mutualisation.",iii,défaut de calibration,"Les ratios sont objectivement mauvais : liquidité à 4/20 (20% du max), autonomie à 4.1/15 (27% du max), gouvernance à 0/10, et le score global de 46/100 à la limite C/D aurait dû déclencher une alerte. La fragilité structurelle pointée par la CRC (7.9 ans auparavant) persiste : trésorerie tendue (500k€ pour une asso de ce calibre), dépendance critique aux subventions (autonomie très basse), et absence de CAC. Vigil'Asso classe ce cas en C sans alerte alors que plusieurs sous-scores sont bien en deçà du seuil de viabilité.",high
777746702,Association Cercle Paul Bert à Rennes (Ille-et-Vilaine),C,46,"Dépendance critique aux subventions (52-71%), déficits récurrents secteur enfance-jeunesse, explosion charges personnel sans maîtrise",ii,fonds dédiés / ressources affectées,"La trésorerie affichée (2,36 M€) est disproportionnée par rapport aux fonds propres (0,56 M€), suggérant que cette liquidité provient largement de subventions affectées ou fonds dédiés non encore consommés. Le ratio solidité très faible (3,8/25) malgré une trésorerie élevée confirme que le bilan réel est fragile : les ressources ne sont pas réellement disponibles pour absorber des pertes structurelles. Le rapport CRC, vieux de 8 ans, pointe une dépendance critique aux subventions (52-71%) que le score C ne reflète pas adéquatement.",high
